word,meaning
active,engaging or ready to engage in physically energetic pursuits.
antique,a collectable object such as a piece of furniture or work of art that has a high value because of its age and quality.
agility,ability to move quickly and easily.
attire,clothes; especially fine or formal ones.
awful,very bad or unpleasant.
assets,a useful or valuable thing or person.
ample,enough or more than enough; plentiful.
amateur,a person who engages in a pursuit
assault,make a physical attack on.
abroad,in or to a foreign country or countries.
always,at all times; on all occasions.
adversity,a difficult or unpleasant situation.
allure,the quality of being powerfully and mysteriously attractive or fascinating.
admit,confess to be true or to be the case.
amiable,having or displaying a friendly and pleasant manner.
aggressive,ready or likely to attack or confront; characterized by or resulting from aggression.
acquit,free (someone) from a criminal charge by a verdict of not guilty.
awful,very bad or unpleasant.
ambition,a strong desire to do or achieve something.
anxious,"feeling or showing worry, nervousness, or unease about something with an uncertain outcome."
achieve,"successfully bring about or reach (a desired objective or result) by effort, skill, or courage."
aid,"help, typically of a practical nature."
amount,"a quantity of something, especially the total of a thing or things in number, size, value, or extent."
adroit,clever or skillful.
adequate,satisfactory or acceptable in quality or quantity.
alteration,the action or process of altering or being altered.
ambiance,the character and atmosphere of a place.
allow,let (someone) have or do something.
amicable,characterized by friendliness and absence of discord.
astonishing,extremely surprising or impressive; amazing.
ambitious,having or showing a strong desire and determination to succeed.
accord,"give or grant someone (power, status, or recognition)."
abode,a place of residence; a house or home.
accurate,"(especially of information, measurements, or predictions) correct in all details; exact."
away,"to or at a distance from a particular place, person, or thing."
arrive,reach a place at the end of a journey or a stage in a journey.
angry,"feeling or showing strong annoyance, displeasure, or hostility; full of anger."
abandon,cease to support or look after (someone); desert.
add,"join (something) to something else so as to increase the size, number, or amount."
answer,"a thing that is said, written, or done as a reaction to a question, statement, or situation."
alike,(of two or more people or things) similar to each other.
abstraction,the quality of dealing with ideas rather than events.
adamant,refusing to be persuaded or to change one's mind.
appreciation,recognition and enjoyment of the good qualities of someone or something.
agree,have the same opinion about something; concur.
approve,officially agree to or accept as satisfactory.
brave,ready to face and endure danger or pain; showing courage.
beneficial,resulting in good; favourable or advantageous.
before,during the period of time preceding a particular event or time.
bizarre,very strange or unusual.
brief,of short duration; not lasting for long.
bashful,reluctant to draw attention to oneself; shy.
best,of the most excellent or desirable type or quality.
becoming,(of clothing) looking good on someone.
baby,a very young child.
benevolent,well meaning and kindly.
believe,"accept that (something) is true, especially without proof."
beautiful,pleasing the senses or mind aesthetically.
bucket,"a roughly cylindrical open container with a handle, made of metal or plastic and used to hold and carry liquids."
broad,having a distance larger than usual from side to side; wide.
betray,"expose (one's country, a group, or a person) to danger by treacherously giving information to an enemy."
belly,"the front part of the human trunk below the ribs, containing the stomach and bowels."
blend,mix (a substance) with another substance so that they combine together.
break,"separate or cause to separate into pieces as a result of a blow, shock, or strain."
blank,"(of a surface or background) unrelieved by decorative or other features; bare, empty, or plain."
begin,perform or undergo the first part of (an action or activity).
brave,ready to face and endure danger or pain; showing courage.
bread,"food made of flour, water, and yeast mixed together and baked."
blanket,a large piece of woollen or similar material used as a covering on a bed or elsewhere for warmth.
beautiful,pleasing the senses or mind aesthetically.
beginning,the point in time or space at which something begins.
berserk,out of control with anger or excitement; wild or frenzied.
birth,the emergence of a baby or other young from the body of its mother; the start of life as a physically separate being.
blossom,"a flower or a mass of flowers, especially on a tree or bush."
big,of considerable size or extent.
behoove,it is a duty or responsibility for someone to do something.
cunning,having or showing skill in achieving one's ends by deceit or evasion.
contrary,"opposite in nature, direction, or meaning."
close,only a short distance away or apart in space or time.
compassion,sympathetic pity and concern for the sufferings or misfortunes of others.
calamity,an event causing great and often sudden damage or distress; a disaster.
considerate,careful not to inconvenience or harm others.
correct,free from error; in accordance with fact or truth.
collision,an instance of one moving object or person striking violently against another.
courteous,"polite, respectful, or considerate in manner."
crumble,"break or fall apart into small fragments, especially as part of a process of deterioration."
calm,"not showing or feeling nervousness, anger, or other strong emotions."
chaos,complete disorder and confusion.
close,only a short distance away or apart in space or time.
connect,bring together or into contact so that a real or notional link is established.
contemporary,living or occurring at the same time.
courage,the ability to do something that frightens one; bravery.
compress,flatten by pressure; squeeze or press.
crazy,"mad, especially as manifested in wild or aggressive behaviour."
change,make (someone or something) different; alter or modify.
confine,"keep or restrict someone or something within certain limits of (space, scope, or time)."
coarse,rough or harsh in texture.
collect,bring or gather together (a number of things).
confuse,make (someone) bewildered or perplexed.
contrary,"opposite in nature, direction, or meaning."
counsel,"advice, especially that given formally."
clarify,make (a statement or situation) less confused and more comprehensible.
confirm,establish the truth or correctness of (something previously believed or suspected to be the case).
cruel,"wilfully causing pain or suffering to others, or feeling no concern about it."
center,the point that is equally distant from every point on the circumference of a circle or sphere.
curb,a check or restraint on something.
charismatic,exercising a compelling charm which inspires devotion in others.
conflict,"a serious disagreement or argument, typically a protracted one."
complex,consisting of many different and connected parts.
choosy,taking excessive care when making a choice.
comical,"amusing, especially in a ludicrous or absurd way."
confine,"keep or restrict someone or something within certain limits of (space, scope, or time)."
chubby,plump and rounded.
congested,(of a road or place) so crowded with traffic or people as to hinder or prevent freedom of movement.
cranky,eccentric or strange.
couch,a long upholstered piece of furniture for several people to sit on.
coy,(especially with reference to a woman) making a pretence of shyness or modesty which is intended to be alluring.
correct,free from error; in accordance with fact or truth.
candid,truthful and straightforward; frank.
curse,a solemn utterance intended to invoke a supernatural power to inflict harm or punishment on someone or something.
dirty,covered or marked with an unclean substance.
deliberate,done consciously and intentionally.
dash,run or travel somewhere in a great hurry.
despise,feel contempt or a deep repugnance for.
delicate,very fine in texture or structure; of intricate workmanship or quality.
daybreak,the time in the morning when daylight first appears; dawn.
defy,openly resist or refuse to obey.
dearth,a scarcity or lack of something.
dubious,hesitating or doubting.
detain,keep (someone) from proceeding by holding them back or making claims on their attention.
demeanor,outward behaviour or bearing.
desperate,feeling or showing a hopeless sense that a situation is so bad as to be impossible to deal with.
destitute,extremely poor and lacking the means to provide for oneself.
dusk,the darker stage of twilight.
disgrace,loss of reputation or respect as the result of a dishonourable action.
daring,(of a person or action) adventurous or audaciously bold.
dawn,the first appearance of light in the sky before sunrise.
dire,extremely serious or urgent.
disclose,make (secret or new information) known.
deceased,the recently dead person in question.
docile,ready to accept control or instruction; submissive.
dumb,temporarily unable or unwilling to speak.
dedicated,devoted to a task or purpose.
dull,lacking interest or excitement.
deteriorate,become progressively worse.
descendent,descending from an ancestor.
dilemma,"a situation in which a difficult choice has to be made between two or more alternatives, especially ones that are equally undesirable."
disagree,have or express a different opinion.
destiny,the events that will necessarily happen to a particular person or thing in the future.
defend,resist an attack made on (someone or something); protect from harm or danger.
discount,a deduction from the usual cost of something.
dispute,a disagreement or argument.
deduct,subtract or take away (an amount or part) from a total.
deliberate,done consciously and intentionally.
delicate,very fine in texture or structure; of intricate workmanship or quality.
elevate,raise or lift (something) to a higher position.
exit,"a way out of a building, room, or passenger vehicle."
ethical,relating to moral principles or the branch of knowledge dealing with these.
enormous,"very large in size, quantity, or extent."
enormous,"very large in size, quantity, or extent."
envisage,contemplate or conceive of as a possibility or a desirable future event.
entrepreneur,"a person who sets up a business or businesses, taking on financial risks in the hope of profit."
encourage,"give support, confidence, or hope to (someone)."
eager,strongly wanting to do or have something.
exaggerate,"represent (something) as being larger, better, or worse than it really is."
exemplary,serving as a desirable model; very good.
elevate,raise or lift (something) to a higher position.
elite,a select group that is superior in terms of ability or qualities to the rest of a group or society.
emphatically,in a forceful way.
eye-opener,an event or situation that proves to be unexpectedly enlightening.
epitome,a person or thing that is a perfect example of a particular quality or type.
envy,"a feeling of discontented or resentful longing aroused by someone else's possessions, qualities, or luck."
escalate,increase rapidly.
execute,"put (a plan, order, or course of action) into effect."
evaluate,"form an idea of the amount, number, or value of; assess."
enlarge,make or become larger or more extensive.
extra,added to an existing or usual amount or number; additional.
elitist,relating to or supporting the view that a society or system should be led by an elite.
exempt,free from an obligation or liability imposed on others.
exactly,used to emphasize the accuracy of a figure or description.
eternal,lasting or existing forever; without end.
fetch,go for and then bring back (someone or something) for someone.
frivolous,not having any serious purpose or value.
facelift,a cosmetic surgical operation to remove unwanted wrinkles by tightening the skin of the face.
forbid,refuse to allow (something).
frigid,very cold in temperature.
fat,"a natural oily substance occurring in animal bodies, especially when deposited as a layer under the skin or around certain organs."
fragile,(of an object) easily broken or damaged.
finish,bring (a task or activity) to an end; complete.
fill,cause (a space or container) to become full or almost full.
far-flung,distant or remote.
fatal,causing death.
fraction,"a numerical quantity that is not a whole number (e.g. 1/2, 0.5)."
function,an activity that is natural to or the purpose of a person or thing.
funny,causing laughter or amusement; humorous.
flippant,not showing a serious or respectful attitude.
fatal,causing death.
fiction,"literature in the form of prose, especially novels, that describes imaginary events and people."
ferry,"a boat or ship for conveying passengers and goods, especially over a relatively short distance and as a regular service."
formerly,in the past; in earlier times.
fate,"the development of events outside a person's control, regarded as predetermined by a supernatural power."
flaw,"a mark, blemish, or other imperfection which mars a substance or object."
fast,moving or capable of moving at high speed.
fun,"enjoyment, amusement, or light-hearted pleasure."
freak,a very unusual and unexpected event or situation.
false,not according with truth or fact; incorrect.
fatigue,extreme tiredness resulting from mental or physical exertion or illness.
fortunate,favoured by or involving good luck; lucky.
fair,treating people equally without favouritism or discrimination.
fantastic,extraordinarily good or attractive.
future,a period of time following the moment of speaking or writing; time regarded as still to come.
furious,extremely angry.
famous,known about by many people.
fluke,"an unlikely chance occurrence, especially a surprising piece of luck."
gut,the stomach or belly.
glossy,shiny and smooth.
garbage,"rubbish or waste, especially domestic refuse."
gain,obtain or secure (something wanted or desirable).
great,"of an extent, amount, or intensity considerably above average."
glare,stare in an angry or fierce way.
gloomy,"dark or poorly lit, especially so as to appear depressing or frightening."
grab,grasp or seize suddenly and roughly.
gesture,"a movement of part of the body, especially a hand or the head, to express an idea or meaning."
glitter,"shine with a bright, shimmering reflected light."
grim,very serious or gloomy.
glad,feeling pleasure or happiness.
generous,"showing a readiness to give more of something, especially money, than is strictly necessary or expected."
grumble,complain about something in a bad-tempered way.
get,come to have (something); receive.
gaudy,"extravagantly bright or showy, typically so as to be tasteless."
hazard,a danger or risk.
hire,obtain the temporary use of (something) for an agreed payment.
huge,extremely large; enormous.
handover,an act or instance of handing something over.
high,of great vertical extent.
hop,(of a person) move by jumping on one foot.
hurry,move or act with great haste.
homesickness,a feeling of longing for one's home during a period of absence from it.
humiliate,make (someone) feel ashamed and foolish by injuring their dignity and pride.
hall,the room or space just inside the front entrance of a house or flat.
happily,in a happy way.
havoc,widespread destruction.
handsome,(of a man) good-looking.
help,make it easier or possible for (someone) to do something by offering one's services or resources.
handy,convenient to handle or use; useful.
halt,bring or come to an abrupt stop.
insomnia,habitual sleeplessness; inability to sleep.
inventory,"a complete list of items such as property, goods in stock, or the contents of a building."
inferior,"lower in rank, status, or quality."
instinct,"an innate, typically fixed pattern of behaviour in animals in response to certain stimuli."
irrelevant,not connected with or relevant to something.
imitate,take or follow as a model.
intolerant,"not tolerant of views, beliefs, or behaviour that differ from one's own."
invincible,too powerful to be defeated or overcome.
inconsiderate,thoughtlessly causing hurt or inconvenience to others.
important,of great significance or value.
infect,"affect (a person, organism, etc.) with a disease-causing organism."
invoice,"a list of goods sent or services provided, with a statement of the sum due for these; a bill."
